M,K,N,shape_str,overlap_ratio,prefetch_ratio,ratio_str,avg_gflops,peak_gflops,avg_time_ms,std_time_ms,flops,cv,efficiency,matrix_volume
512,512,512,512x512x512,0.0,0.0,"o=0.0, p=0.0",19856.2600634321,21788.59265527493,0.013518933330972989,0.0018364901538243737,268435456,13.584578818928145,1985.6260063432098,134217728
512,512,512,512x512x512,1.0,1.0,"o=1.0, p=1.0",20403.619265311845,22017.344367202637,0.013156266665707033,0.0007143831606954001,268435456,5.429983891687926,2040.3619265311845,134217728
512,512,512,512x512x512,0.25,0.0,"o=0.25, p=0.0",19950.70872591938,21788.59265527493,0.013454933340350786,0.0015725807964876081,268435456,11.687763563803797,1995.070872591938,134217728
512,512,512,512x512x512,0.5,0.0,"o=0.5, p=0.0",20420.17529898194,21845.332560645238,0.013145599979907274,0.000761142776803633,268435456,5.790095377670255,2042.0175298981937,134217728
512,512,512,512x512x512,0.75,0.0,"o=0.75, p=0.0",20468.34003541571,21454.239933142457,0.01311466662834088,0.000573213050802209,268435456,4.370778663664175,2046.834003541571,134217728
512,512,512,512x512x512,0.0,0.25,"o=0.0, p=0.25",20466.675437149614,22369.62113888889,0.013115733272085588,0.0006905741795512761,268435456,5.2652350061207445,2046.6675437149615,134217728
512,512,512,512x512x512,0.0,0.5,"o=0.0, p=0.5",20423.48979793432,22369.62113888889,0.013143466599285603,0.0006537160983050808,268435456,4.973696196257787,2042.348979793432,134217728
512,512,512,512x512x512,0.0,0.75,"o=0.0, p=0.75",20425.14718557978,21959.70690093816,0.013142400079717238,0.0006795337085267472,268435456,5.170544987254471,2042.5147185579779,134217728
512,512,512,512x512x512,0.25,0.25,"o=0.25, p=0.25",20629.41554314927,22017.344367202637,0.01301226665576299,0.0012222571515660074,268435456,9.393114850014875,2062.9415543149266,134217728
512,512,512,512x512x512,0.5,0.5,"o=0.5, p=0.5",20973.26780678625,22017.344367202637,0.012798933312296867,0.0007972853032479951,268435456,6.229310551075261,2097.326780678625,134217728
512,512,512,512x512x512,0.75,0.75,"o=0.75, p=0.75",20914.00647115399,22075.283500151512,0.01283520000676314,0.0012988046727701167,268435456,10.119084019615968,2091.400647115399,134217728
512,512,512,512x512x512,0.25,0.75,"o=0.25, p=0.75",20929.660736234382,22550.02092829104,0.01282559996470809,0.001464337112341088,268435456,11.41729912339751,2092.966073623438,134217728
512,512,512,512x512x512,0.75,0.25,"o=0.75, p=0.25",21401.330175868472,22919.69443138046,0.0125429332566758,0.0005731772820690459,268435456,4.569722809965367,2140.1330175868475,134217728
